Weibo ID,Weibo Name,Fans Count,Average Count
1948420757,剪雪世界,47,84
2604415323,TJUer,50,238
2096743365,盐酸吉米兰,53,257
2683102883,轩萱杉雨,54,306
2379919814,Aristotele,67,235
2270073604,张迎亚_笑忘书屋,76,216
2025967375,亮shayne,79,367
1806609532,勤豆儿V,79,196
2141102495,譞之轩,83,343
1733932577,时清凯,85,297
1941283425,迷城幻境,85,423
1711511821,冯晨超NJU,92,258
1378060623,李可扬_software,92,358
2044445020,开颜_fly,93,270
1855605657,千里于野,94,684
1611225320,苍毫入墨,98,257
1586329103,落落野花家,103,2548
1986975143,高宏宇Halley,120,242
1888997025,Speedap,122,279
1976553515,孙一aaron,136,334
1531273534,Fossil-River,147,194
2569068214,子扬儿,148,353
1871630402,__cHenhAO__,149,331
1144569531,Nightprayer_NJU,149,319
1862525021,菜鸟高飞Charles,150,1531
2438837420,我新年不是赖赖高,154,276
1740567010,韩进106,155,301
1816984574,张镞,163,321
1976632895,彭少suddenly,165,336
2737090342,陈东打酱油,166,760
1763399454,王公函,169,348
2132806845,LCY_艺逸,169,217
1396640093,安木青J,170,1070
1986907353,二货爱吃胡萝卜,172,282
1182874870,猿码,174,698
1909556427,Mtawaken,184,483
2111139490,ljs_software,196,308
1907570663,steve兵临城下,198,267
1948160903,赵璐sama,211,331
1825011872,快乐小超_爱折腾,211,249
1696922064,朱艳仪o大圆,220,257
1761325510,五柳学生_,221,663
1565123674,秋玄大盗,226,408
1873894500,geiliverbal,226,410
1164491963,肉包子木有馅,236,373
1973127495,请叫我金鱼饭,241,329
2154164795,曹伶燕,246,287
1671551677,sevanJoe,247,476
1830717005,爱笑的小清新,247,439
1866635474,总在打怪兽的怪兽,252,298
1959695154,专注翔哥20年,272,282
1863135800,feijia_sky,274,265
1909340327,小歪不歪歪,309,334
1557828152,高哲遠_臺大資工,339,645
1733745982,donaldhuan,343,1253
1616252994,天水秋林,370,1280
1680610657,海狸_Helle,396,282
2230153572,端一恒,477,250
1655402977,李辉_小米,478,6830
1626845550,葛馨阳,541,247
1941369107,王骍,555,337
1943617427,陆恒_巴伐利亚,577,317
1845696580,白羊座小葛,621,761
1948462797,黄力为levi,653,386
1937658654,你丫就一菜鸟,850,1550
2212452253,陈振宇NJU,1123,2529
3152380641,精准营销决策支持,1168,1224
